game_id,season_year,game_label,game_subtype,game_status,game_status_text,date_utc,time_utc,datetime_utc,date_est,time_est,datetime_est,home_team_id,home_tricode,home_city,home_name,away_team_id,away_tricode,away_city,away_name,arena_name,arena_city,arena_state,broadcasters_national
0012500008,2025-26,Preseason,Global Games,1,12:00 pm ET,2025-10-02,1900-01-01T16:00:00Z,2025-10-02 16:00:00+00:00,2025-10-02,1900-01-01T12:00:00Z,2025-10-02 12:00:00+00:00,1610612752,NYK,New York,Knicks,1610612755,PHI,Philadelphia,76ers,Etihad Arena,Abu Dhabi,,
0012500001,2025-26,Preseason,,1,10:00 pm ET,2025-10-03,1900-01-01T02:00:00Z,2025-10-04 02:00:00+00:00,2025-10-03,1900-01-01T22:00:00Z,2025-10-03 22:00:00+00:00,1610612747,LAL,Los Angeles,Lakers,1610612756,PHX,Phoenix,Suns,Acrisure Arena,Palm Desert,CA,
0012500009,2025-26,Preseason,,1,5:30 am ET,2025-10-03,1900-01-01T09:30:00Z,2025-10-03 09:30:00+00:00,2025-10-03,1900-01-01T05:30:00Z,2025-10-03 05:30:00+00:00,1610612740,NOP,New Orleans,Pelicans,15016,MEL,Melbourne,United,Rod Laver Arena,Melbourne,,
0012500010,2025-26,Preseason,Global Games,1,11:00 am ET,2025-10-04,1900-01-01T15:00:00Z,2025-10-04 15:00:00+00:00,2025-10-04,1900-01-01T11:00:00Z,2025-10-04 11:00:00+00:00,1610612755,PHI,Philadelphia,76ers,1610612752,NYK,New York,Knicks,Etihad Arena,Abu Dhabi,,
0012500011,2025-26,Preseason,,1,11:00 pm ET,2025-10-04,1900-01-01T03:00:00Z,2025-10-05 03:00:00+00:00,2025-10-04,1900-01-01T23:00:00Z,2025-10-04 23:00:00+00:00,1610612740,NOP,New Orleans,Pelicans,50013,SEM,South East Melbourne,Phoenix,Rod Laver Arena,Melbourne,,
0012500026,2025-26,Preseason,,1,8:00 pm ET,2025-10-04,1900-01-01T00:00:00Z,2025-10-05 00:00:00+00:00,2025-10-04,1900-01-01T20:00:00Z,2025-10-04 20:00:00+00:00,1610612751,BKN,Brooklyn,Nets,50014,HAP,Hapoel,Jerusalem B.C.,Barclays Center,Brooklyn,NY,
0012500027,2025-26,Preseason,,1,8:00 pm ET,2025-10-04,1900-01-01T00:00:00Z,2025-10-05 00:00:00+00:00,2025-10-04,1900-01-01T20:00:00Z,2025-10-04 20:00:00+00:00,1610612748,MIA,Miami,Heat,1610612753,ORL,Orlando,Magic,Coliseo de Puerto Rico,"San Juan,Puerto Rico",,
0012500028,2025-26,Preseason,,1,9:00 pm ET,2025-10-04,1900-01-01T01:00:00Z,2025-10-05 01:00:00+00:00,2025-10-04,1900-01-01T21:00:00Z,2025-10-04 21:00:00+00:00,1610612743,DEN,Denver,Nuggets,1610612750,MIN,Minnesota,Timberwolves,Pechanga Arena,San Diego,CA,
0012500029,2025-26,Preseason,,1,5:00 pm ET,2025-10-05,1900-01-01T21:00:00Z,2025-10-05 21:00:00+00:00,2025-10-05,1900-01-01T17:00:00Z,2025-10-05 17:00:00+00:00,1610612766,CHA,Charlotte,Hornets,1610612760,OKC,Oklahoma City,Thunder,North Charleston Coliseum,Charleston,SC,
0012500030,2025-26,Preseason,,1,8:30 pm ET,2025-10-05,1900-01-01T00:30:00Z,2025-10-06 00:30:00+00:00,2025-10-05,1900-01-01T20:30:00Z,2025-10-05 20:30:00+00:00,1610612744,GSW,Golden State,Warriors,1610612747,LAL,Los Angeles,Lakers,Chase Center,San Francisco,CA,
